Ligand SMILES	Target Name	IC50 (nM)	Curation/DataSource	PDB ID(s) of Target Chain	UniProt (TrEMBL) Primary ID of Target Chain	UniProt (TrEMBL) Secondary ID(s) of Target Chain	UniProt (TrEMBL) Alternative ID(s) of Target Chain
CC(C)(CN1CCN(CCO)CC1)c1ccc(NC(=O)c2ncc([nH]2)C#N)c(c1)C1=CCC(C)(C)CC1	Colony Stimulating?Factor?1	2	ChEMBL	"3LCO,4DKD,4LIQ,6IG8"			
CC(C)(CO)c1ccc(NC(=O)c2ncc([nH]2)C#N)c(c1)C1=CCC(C)(C)CC1	Colony Stimulating?Factor?1	2	ChEMBL	"3LCO,4DKD,4LIQ,6IG8"			
CC1(C)CCC(=CC1)c1cc(Cc2nnn[nH]2)ccc1NC(=O)c1ncc([nH]1)C#N	Colony Stimulating?Factor?1	2	ChEMBL	"3LCO,4DKD,4LIQ,6IG8"			
CC(=O)N1CCC(CC1)c1ccc(NC(=O)c2ncc([nH]2)C#N)c(c1)C1=CCCCC1	Colony Stimulating?Factor?1	2	ChEMBL	"3LCO,4DKD,4LIQ,6IG8"			
CC1CCN(CC1)c1cc(\C=C\C(O)=O)ccc1NC(=O)c1ccc(o1)C#N	Colony Stimulating?Factor?1	2	ChEMBL	"3LCO,4DKD,4LIQ,6IG8"			
COc1ccc(COc2ccc(Cn3c(N)nc4cc(ccc34)-c3cnn(C)c3)cc2OC)cc1	Colony Stimulating?Factor?1	2	US Patent	"3LCO,4DKD,4LIQ,6IG8"			
COc1ccc(COc2ccc(Cn3c(N)nc4cc(ccc34)-c3ccncc3)cc2OC)cc1	Colony Stimulating?Factor?1	2	US Patent	"3LCO,4DKD,4LIQ,6IG8"			
COc1ccc(COc2ccc(Cn3cnc4cc(ccc34)-c3cnn(c3)C3CCNCC3)cc2OC)cn1	Colony Stimulating?Factor?1	2	US Patent	"3LCO,4DKD,4LIQ,6IG8"			
COc1ccc(COc2ccc(Cn3c(N)nc4cc(cnc34)-c3cnn(C)c3)cc2OC)cc1	Colony Stimulating?Factor?1	2	US Patent	"3LCO,4DKD,4LIQ,6IG8"			
COc1ccc(COc2ccc(Cn3c(N)nc4cc(cnc34)-c3ccc(nc3)P(C)(C)=O)cc2OC)cc1	Colony Stimulating?Factor?1	2	US Patent	"3LCO,4DKD,4LIQ,6IG8"			
COc1ccc(COc2ccc(Cn3cnc4cc(cnc34)-c3cnn(c3)C3CCNCC3)cc2OC)cn1	Colony Stimulating?Factor?1	2	US Patent	"3LCO,4DKD,4LIQ,6IG8"			
COc1ccc(COc2ccc(Cn3c(N)nc4cc(cnc34)-c3ccncc3)cc2OC)cn1	Colony Stimulating?Factor?1	2	US Patent	"3LCO,4DKD,4LIQ,6IG8"			
COc1ccc(COc2ccc(Cn3c(N)nc4cc(ccc34)-c3cnn(C)c3)cc2OC)cc1	Colony Stimulating?Factor?1	2	US Patent	"3LCO,4DKD,4LIQ,6IG8"			
COc1ccc(COc2ccc(Cn3c(N)nc4cc(ccc34)-c3ccncc3)cc2OC)cc1	Colony Stimulating?Factor?1	2	US Patent	"3LCO,4DKD,4LIQ,6IG8"			
